,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,znamenskoye,24,RU,1552779960,81,57.13,57.13,16.5,9.42
389,alice springs,36,AU,1552777200,13,-23.7,-23.7,78.8,6.93
390,villa rica,24,PE,1552779961,97,-10.74,-10.74,68.97,1.92
391,lavrentiya,0,RU,1552779961,100,65.58,65.58,14.52,13.78
392,bryan,75,US,1552779904,33,30.67,30.67,61.0,7.52
393,whitefish,1,US,1552779951,56,48.41,48.41,46.0,2.37
394,viedma,76,AR,1552779961,95,-40.81,-40.81,64.42,6.62
395,marsa matruh,0,EG,1552779784,85,31.35,31.35,44.04,5.73
396,ruteng,64,ID,1552779962,100,-8.61,-8.61,72.52,3.49
397,hailar,44,CN,1552779962,50,49.2,49.2,25.86,13.44
398,tiksi,8,RU,1552779962,72,71.64,71.64,-24.59,3.15
399,leh,68,IN,1552779787,76,34.16,34.16,-6.1,0.36
400,corum,8,TR,1552776600,87,38.8,38.8,32.0,7.0
401,bubaque,0,GW,1552779964,86,11.28,11.28,80.76,14.79
402,weligama,8,LK,1552779964,100,5.97,5.97,76.08,5.17
403,palestina,75,EC,1552779953,94,-1.63,-1.63,79.0,6.93
404,manggar,8,ID,1552779966,97,-2.88,-2.88,78.87,4.61
405,luangwa,80,MZ,1552779966,98,-15.62,-15.62,70.59,3.6
406,unai,8,BR,1552779966,74,-16.36,-16.36,75.99,3.49
407,praia da vitoria,20,PT,1552779916,93,38.73,38.73,60.8,7.63
408,hefei,0,CN,1552777200,75,31.82,31.82,46.4,2.24
409,tuatapere,8,NZ,1552779606,73,-46.13,-46.13,64.99,1.01
410,north bend,1,US,1552779955,76,43.41,43.41,60.01,9.17
411,sao filipe,0,CV,1552779968,90,14.9,14.9,72.39,11.99
412,antigonish,1,CA,1552779755,75,45.62,45.62,41.0,12.75
413,pinawa,12,CA,1552779968,84,50.15,50.15,20.28,5.61
414,atar,0,MR,1552779969,21,20.52,20.52,63.48,6.96
415,half moon bay,20,US,1552779965,52,37.46,37.46,73.99,12.75
416,musoma,48,TZ,1552779969,100,-1.5,-1.5,66.94,3.38
417,barabinsk,80,RU,1552779969,89,55.35,55.35,21.63,11.65
418,yantal,92,RU,1552779970,91,56.85,56.85,27.66,2.59
419,holland,1,US,1552779695,99,42.79,42.79,33.01,6.93
420,jardim,0,BR,1552779839,92,-21.48,-21.48,74.19,7.07
421,antipino,0,RU,1552777200,44,57.11,57.11,21.2,8.95
422,rio grande,68,BR,1552779884,83,-32.03,-32.03,75.27,18.7
423,moroni,0,US,1552779844,30,39.52,39.52,53.01,1.01
424,key west,40,US,1552779493,85,47.93,47.93,26.6,10.29
425,statesville,1,US,1552779967,39,35.78,35.78,54.0,6.62
426,havre,1,US,1552779939,74,48.55,48.55,41.0,10.29
427,princeton,1,US,1552779960,59,41.37,41.37,43.0,8.05
428,imeni poliny osipenko,0,RU,1552779777,66,52.42,52.42,23.52,4.27
429,kidal,8,ML,1552779973,34,18.44,18.44,65.37,3.71
430,sorong,32,ID,1552779973,100,-0.86,-0.86,81.34,6.29
431,college,1,US,1552779913,41,64.86,64.86,45.0,6.93
432,cap malheureux,40,MU,1552779848,94,-19.98,-19.98,77.0,8.75
433,manta,32,RO,1552779975,67,45.1,45.1,42.42,7.74
434,prado,8,BR,1552779976,94,-17.34,-17.34,83.1,16.24
435,jumla,80,NP,1552779977,77,29.28,29.28,25.72,2.15
436,valentin gomez farias,75,MX,1552779615,11,24.05,24.05,71.6,25.28
437,paciran,68,ID,1552779977,98,-6.9,-6.9,74.77,4.38
438,ahuimanu,1,US,1552779677,69,21.44,21.44,82.4,8.05
439,ashland,20,US,1552779929,42,38.48,38.48,48.2,8.05
440,faya,0,SA,1552777200,71,18.39,18.39,60.8,6.93
441,narsaq,88,GL,1552776600,74,60.91,60.91,30.2,19.46
442,cabo san lucas,90,MX,1552779621,64,22.89,22.89,73.99,10.29
443,salisbury,20,GB,1552779971,93,51.07,51.07,46.0,13.87
444,oranjemund,100,ZA,1552779979,95,-28.55,-28.55,64.56,2.26
445,kostyantynivka,68,UA,1552779979,93,48.53,48.53,38.19,10.42
446,marfino,75,RU,1552778977,94,56.07,56.07,32.0,6.71
447,verkhoyansk,0,RU,1552779980,59,67.55,67.55,-21.4,2.59
448,pimentel,64,BR,1552779980,80,-3.7,-3.7,80.4,6.4
449,mikhaylovka,8,RU,1552779980,56,52.96,52.96,18.75,2.59
450,flinders,90,AU,1552779733,88,-34.58,-34.58,71.01,12.75
451,russkiy,92,RU,1552779980,97,44.21,44.21,37.06,0.81
452,formosa,40,AR,1552777200,83,-26.19,-26.19,77.0,4.7
453,qinhuangdao,0,CN,1552779981,59,39.94,39.94,35.31,1.92
454,bure,0,NG,1552779981,25,10.52,10.52,74.32,8.75
455,mujiayingzi,0,CN,1552779982,46,42.12,42.12,29.1,4.61
456,vila franca do campo,40,PT,1552779935,87,37.72,37.72,60.8,10.29
457,mahajanga,40,MG,1552777200,88,-15.72,-15.72,78.8,2.24
458,zalakomar,20,HU,1552779983,89,46.54,46.54,42.87,4.16
459,dawlatabad,0,AF,1552779983,80,36.41,36.41,49.53,4.72
460,bani,0,PH,1552779983,92,15.89,15.89,76.89,2.93
461,bukan,88,IR,1552779983,90,36.52,36.52,35.67,3.6
462,norman wells,40,CA,1552777200,38,65.28,65.28,39.2,12.75
463,along,88,IN,1552779983,94,28.17,28.17,53.4,1.14
464,lagoa,0,PT,1552779729,62,37.14,37.14,57.2,6.93
465,luwuk,8,ID,1552779824,92,-0.95,-0.95,81.16,1.03
466,laurel,75,US,1552779920,48,45.67,45.67,50.0,5.82
467,sinnamary,68,GF,1552779984,100,5.38,5.38,78.42,10.76
468,xining,88,CN,1552779984,86,36.62,36.62,23.97,1.36
469,keningau,75,MY,1552777200,94,5.33,5.33,75.2,5.82
470,georgiyevka,76,RU,1552779985,94,52.25,52.25,32.29,7.52
471,chapais,90,CA,1552777200,72,49.78,49.78,10.4,14.99
472,koeru,88,EE,1552779784,96,58.97,58.97,34.0,1.99
473,olinda,75,EC,1552779953,94,-2.03,-2.03,79.0,6.93
474,ankang,92,CN,1552779986,84,32.73,32.73,43.36,1.7
475,waingapu,44,ID,1552779986,100,-9.65,-9.65,75.99,4.16
476,ahipara,56,NZ,1552779986,72,-35.17,-35.17,74.41,7.4
477,iisalmi,90,FI,1552778400,92,63.56,63.56,32.0,8.05
478,plettenberg bay,36,ZA,1552779986,96,-34.05,-34.05,68.97,6.73
479,ust-koksa,24,RU,1552779987,73,50.27,50.27,26.49,4.72
480,barra,0,GM,1552777200,60,13.49,13.49,73.4,13.87
481,vicksburg,1,US,1552779121,33,32.35,32.35,57.2,4.7
482,bonavista,100,CA,1552779956,84,48.65,48.65,45.0,11.99
483,garowe,68,SO,1552779988,96,8.41,8.41,66.09,7.52
484,port hawkesbury,1,CA,1552779976,75,45.62,45.62,42.01,12.75
485,ammon,1,US,1552779633,42,43.47,43.47,44.6,4.7
486,pandan,20,PH,1552779988,99,11.72,11.72,79.99,19.82
487,bima,64,ID,1552779989,100,-8.45,-8.45,75.18,3.15
488,rocha,92,UY,1552779776,96,-34.48,-34.48,69.69,11.1
489,grindavik,75,IS,1552779095,100,63.84,63.84,34.0,8.05
490,vostok,44,RU,1552779989,71,46.45,46.45,26.71,2.93
491,zwedru,92,LR,1552779989,99,6.07,6.07,70.72,4.83
492,verkhnevilyuysk,64,RU,1552779990,63,63.45,63.45,3.36,6.73
493,kipushi,92,CD,1552779990,87,-11.76,-11.76,65.82,3.15
494,turbiv,80,UA,1552779990,84,49.34,49.34,38.86,17.92
495,kaduqli,8,SD,1552779990,18,11.01,11.01,69.01,10.65
496,azatamut,76,AM,1552779991,87,40.98,40.98,29.73,2.26
497,matiguas,20,NI,1552777200,57,12.84,12.84,77.0,18.34
498,aleksandrov gay,88,RU,1552779991,96,50.14,50.14,32.52,9.19
499,ibra,12,OM,1552779991,94,22.69,22.69,54.61,2.71
500,port shepstone,56,ZA,1552779991,89,-30.74,-30.74,76.26,14.67
501,kropotkin,64,RU,1552779916,10,45.43,45.43,46.0,6.51
502,kaihua,32,CN,1552779992,84,29.14,29.14,50.25,2.37
503,mindelo,75,PT,1552779483,81,41.31,41.31,55.0,6.73
504,chinu,20,CO,1552777200,74,9.11,9.11,82.4,7.96
505,tatarskaya kargala,0,RU,1552777200,74,51.95,51.95,28.4,17.9
506,saint-gaudens,0,FR,1552779918,66,43.11,43.11,54.0,6.93
507,sur,12,OM,1552779994,100,22.57,22.57,69.01,8.75
508,hamilton,75,CA,1552779689,79,43.26,43.26,33.01,10.29
509,nagykoros,0,HU,1552779917,75,47.03,47.03,48.0,2.24
510,richmond,90,CA,1552779682,76,49.16,49.16,57.99,9.17
511,goderich,68,CA,1552779990,80,43.74,43.74,30.0,8.01
512,porkhov,24,RU,1552777200,97,57.77,57.77,33.8,2.24
513,honiara,12,SB,1552779996,73,-9.43,-9.43,85.57,2.59
514,sauce,75,UY,1552779962,83,-34.65,-34.65,73.0,16.11
515,goba,0,ET,1552779996,74,7.01,7.01,45.52,2.48
516,halifax,75,CA,1552779096,83,44.65,44.65,41.0,8.05
517,arona,0,IT,1552779978,76,45.76,45.76,55.0,2.24
518,barranca,20,PE,1552779997,100,-10.75,-10.75,72.39,9.86
519,coruripe,0,BR,1552779997,99,-10.12,-10.12,81.34,11.21
520,nemuro,76,JP,1552779875,97,43.32,43.32,32.25,10.2
521,dusti,75,TJ,1552777200,47,37.35,37.35,55.4,4.47
522,abrau-dyurso,76,RU,1552777200,87,44.7,44.7,44.6,15.66
523,wuxi,8,CN,1552779996,46,31.58,31.58,68.0,0.92
524,hobyo,68,SO,1552779998,83,5.35,5.35,79.36,11.43
525,nishihara,1,JP,1552779917,65,35.74,35.74,55.0,0.92
526,lasa,20,CY,1552777200,67,34.92,34.92,60.8,5.82
527,la sarre,44,CA,1552779920,71,48.8,48.8,12.31,11.54
528,nyurba,64,RU,1552779999,64,63.29,63.29,10.51,8.75
529,kita,20,JP,1552779917,52,35.76,35.76,55.0,4.7
530,santo angelo,100,BR,1552779999,89,-28.3,-28.3,72.48,8.08
531,kaeo,68,NZ,1552779486,78,-35.1,-35.1,72.0,8.99
532,kiunga,76,PG,1552780000,91,-6.12,-6.12,76.21,2.59
533,wakkanai,8,JP,1552780000,100,45.41,45.41,34.32,6.51
534,vila velha,40,BR,1552778895,88,-3.71,-3.71,77.0,2.24
535,taltal,0,CL,1552780000,81,-25.41,-25.41,62.85,2.48
536,loandjili,75,CG,1552777200,89,-4.77,-4.77,84.2,2.24
537,maldonado,40,UY,1552777200,88,-34.91,-34.91,69.8,17.22
538,puerto plata,20,DO,1552779915,78,19.79,19.79,79.0,11.41
539,wawa,0,NG,1552780002,74,9.9,9.9,75.76,7.07
540,hajnowka,44,PL,1552779955,91,52.74,52.74,36.0,8.75
541,gravdal,90,NO,1552779964,100,59.79,59.79,39.99,18.34
542,alugan,92,PH,1552780002,93,12.22,12.22,78.82,14.56
543,great falls,20,US,1552779691,80,47.5,47.5,41.0,5.61
544,kazachinskoye,56,RU,1552780003,82,57.69,57.69,25.36,6.96
545,pinyug,92,RU,1552780003,84,60.25,60.25,25.72,6.4
546,peniche,90,PT,1552779958,76,39.36,39.36,53.6,9.17
547,talakan,68,RU,1552780004,64,50.29,50.29,25.36,5.73
548,songea,0,TZ,1552780004,80,-10.68,-10.68,61.23,3.38
549,surskoye,92,RU,1552780004,91,54.48,54.48,28.96,6.73
550,tagusao,8,PH,1552780004,89,9.19,9.19,78.91,4.38
551,saint-louis,0,CH,1552779972,93,47.59,47.59,50.0,6.93
552,brus laguna,32,HN,1552780005,48,15.75,15.75,82.47,5.06
553,banda aceh,0,ID,1552779942,96,5.56,5.56,73.56,4.38
